name,title,description,pubmed_id,platform,platform_technology_type,feature_count,channel_count,sample_count,value_type,reference_series,order,file_location,num_L1000_genes,target_column,num_classes,class_distribution,class_mapping
GDS5384,Interferon-gamma effect on peripheral blood monocyte-derived dendritic cells,"Analysis of monocyte-derived dendritic cells (moDC) treated with granulocyte-macrophage colony-stimulating factor (GM-CSF) and interleukin (IL)-4 or GM-CSF, IL-4 and interferon (IFN)-γ for 6d. Results provide insight into effects of IFN-γ on differentiation and maturation of peripheral blood moDC.",24678989,GPL6244,in situ oligonucleotide,33297,1,8,transformed count,GSE47621,none,data/GEO_v2/datasets/GDS5384.csv,959,protocol,2,"{'GM-CSF, IL-4 treated': 4, 'GM-CSF, IL-4, INF-Î³ treated': 4}","{'GM-CSF, IL-4 treated': 0, 'GM-CSF, IL-4, INF-Î³ treated': 1}"
GDS3525,Ovarian cancer and depression,"Analysis of primary ovarian tumors from patients with high depressive symptoms. Results provide insight into the contribution of biobehavioral factors such as such as stress, depression, and social support to the molecular progression of cancer.","['18550328', '20176930']",GPL96,in situ oligonucleotide,22283,1,10,transformed count,GSE9116,none,data/GEO_v2/datasets/GDS3525.csv,958,individual,2,"{'low depression': 5, 'high depression': 5}","{'low depression': 0, 'high depression': 1}"
GDS4362,Mammary epithelial cell line 184A1 response to dual-pulse epidermal growth factor stimulation: time course,Analysis of 184A1 mammary epithelial cells pulsed once or twice with epidermal growth factor (EGF). Normal cells require continuous exposure to growth factors to cross a restriction point and commit to cell-cycle progression. Results provide insight into molecular events regulating S phase entry.,21596316,GPL6244,in situ oligonucleotide,33297,1,17,transformed count,GSE27629,none,data/GEO_v2/datasets/GDS4362.csv,959,protocol,2,"{'Dual EGF Pulse': 13, 'Single EGF Pulse': 4}","{'Dual EGF Pulse': 0, 'Single EGF Pulse': 1}"
GDS5265,Mycophenolic acid effect on AGS gastric cancers cells: time course,Analysis of AGS cells treated with mycophenolic acid (MPA; 2ug/ml) for up to 72hr. MPA is an immunosuppressive drug used to prevent graft rejection. Results provide insight into molecular mechanisms underlying the broad anticancer activities of MPA.,24260584,GPL6947,oligonucleotide beads,49576,1,12,transformed count,GSE46671,none,data/GEO_v2/datasets/GDS5265.csv,965,agent,2,"{'mycophenolic acid': 8, 'untreated control': 4}","{'mycophenolic acid': 0, 'untreated control': 1}"
GDS5913,SRPIN803 small molecule inhibitor of SRPK1 effect on retinal pigment epithelial cell line,"Analysis of retinal pigment epithelial ARPE-19 cells treated with SRPIN803, a small molecule inhibitor of serine-arginine protein kinase 1 SRPK1. SRPK1 inhibition prevents pathological angiogenesis. Results provide insight into the molecular mechanisms underlying the inhibitory activity of SRPIN803.",25993998,GPL570,in situ oligonucleotide,54675,1,6,transformed count,GSE62947,none,data/GEO_v2/datasets/GDS5913.csv,958,agent,2,"{'DMSO': 3, 'SRPIN803': 3}","{'DMSO': 0, 'SRPIN803': 1}"
GDS5496,miR-365 expression effect on lung adenocarcinoma cell line,"Analysis of NCI-H441 adenocarcinoma cells expressing hsa-miR-365-2, a precursor of miR-365. Results identify targets of miR-365 and the role of miR-365 in the pulmonary transcriptional program responsible for lung development and malignancy.",22185756,GPL6244,in situ oligonucleotide,33297,1,4,transformed count,GSE33672,none,data/GEO_v2/datasets/GDS5496.csv,959,protocol,2,"{'control': 2, 'miR-365-2 expression': 2}","{'control': 0, 'miR-365-2 expression': 1}"
GDS3711,Asthmatic atopic epithelium,Analysis of airway epithelial cells (AEC) from children with asthma and healthy non-atopic controls. Epithelial cells from asthmatic children fail to heal a wound in vitro. Results provide insight into the molecular mechanisms underlying dysregulated AEC repair.,20110557,GPL96,in situ oligonucleotide,22283,1,16,transformed count,GSE18965,none,data/GEO_v2/datasets/GDS3711.csv,958,disease state,2,"{'asthma atopic': 9, 'healthy non-atopic': 7}","{'asthma atopic': 0, 'healthy non-atopic': 1}"
GDS3867,Comparison of induced pluripotent and embryonic stem cells,"Analysis of induced pluripotent stem (iPS) cells from somatic cells (melanocytes, fibroblasts, and hepatocytes) representing all 3 embryonic germ layers, embryonic stem (ES) cell lines (H1, H7, H9) and their embryoid bodies. Results suggest iPS cells retain a memory of the original somatic cells.",21499256,GPL10666,in situ oligonucleotide,31860,1,24,transformed count,GSE23034,none,data/GEO_v2/datasets/GDS3867.csv,971,cell type,12,"{'hepatocyte': 3, 'hepatocyte-iPS': 3, 'fibroblast': 3, 'fibroblast-iPS': 3, 'melanocyte': 3, 'melanocyte-iPS': 3, 'H1 embryonic stem': 1, 'H7 embryonic stem': 1, 'H9 embryonic stem': 1, 'H1 embroid body': 1, 'H7 embroid body': 1, 'H9 embroid body': 1}","{'hepatocyte': 0, 'hepatocyte-iPS': 1, 'fibroblast': 0, 'fibroblast-iPS': 1, 'melanocyte': 0, 'melanocyte-iPS': 1, 'H1 embryonic stem': 0, 'H7 embryonic stem': 0, 'H9 embryonic stem': 0, 'H1 embroid body': 0, 'H7 embroid body': 0, 'H9 embroid body': 0}"
GDS3867,Comparison of induced pluripotent and embryonic stem cells,"Analysis of induced pluripotent stem (iPS) cells from somatic cells (melanocytes, fibroblasts, and hepatocytes) representing all 3 embryonic germ layers, embryonic stem (ES) cell lines (H1, H7, H9) and their embryoid bodies. Results suggest iPS cells retain a memory of the original somatic cells.",21499256,GPL10666,in situ oligonucleotide,31860,1,24,transformed count,GSE23034,none,data/GEO_v2/datasets/GDS3867.csv,971,cell type,12,"{'hepatocyte': 3, 'hepatocyte-iPS': 3, 'fibroblast': 3, 'fibroblast-iPS': 3, 'melanocyte': 3, 'melanocyte-iPS': 3, 'H1 embryonic stem': 1, 'H7 embryonic stem': 1, 'H9 embryonic stem': 1, 'H1 embroid body': 1, 'H7 embroid body': 1, 'H9 embroid body': 1}","{'hepatocyte': 1, 'hepatocyte-iPS': 0, 'fibroblast': 1, 'fibroblast-iPS': 0, 'melanocyte': 1, 'melanocyte-iPS': 0, 'H1 embryonic stem': 0, 'H7 embryonic stem': 0, 'H9 embryonic stem': 0, 'H1 embroid body': 0, 'H7 embroid body': 0, 'H9 embroid body': 0}"
GDS3783,Jurkat T cell response to silver nanoparticles,Analysis of Jurkat T cells exposed to to 0.2 mg/L of silver nanoparticles (AgNPs) and Ag ions for 24 hours. Cell viability screening revealed that Jurkat T cells exhibit higher sensitivity to AgNPs than to Ag ions. Results provide insight into the molecular basis of this difference in sensitivity.,"['20932003', '24974767']",GPL6883,oligonucleotide beads,24526,1,9,transformed count,GSE20692,none,data/GEO_v2/datasets/GDS3783.csv,840,stress,3,"{'control': 3, 'Ag nanoparticles': 3, 'Ag ions': 3}","{'control': 0, 'Ag nanoparticles': 0, 'Ag ions': 1}"
