name,title,description,pubmed_id,platform,platform_technology_type,feature_count,channel_count,sample_count,value_type,reference_series,order,file_location,num_L1000_genes,target_column,num_classes,class_distribution,class_mapping,is_train
GDS5027,"NeOAdjuvant Herceptin (NOAH) trial: formalin-fixed, paraffin-embedded breast cancer biopsies",Analysis of FFPE core biopsies from pre-treated patients with HER2+ breast cancer (BC) randomized to receive neoadjuvant chemotherapy only or chemotherapy+trastuzumab (herceptin). Results provide insight into the molecular basis of survival outcomes following trastuzumab-based chemotherapy.,24443618,GPL570,in situ oligonucleotide,54675,1,156,transformed count,GSE50948,none,data/GEO_v2/datasets/GDS5027.csv,958,genotype/variation,2,"{'HER2+': 114, 'HER2-': 42}","{'HER2+': 0, 'HER2-': 1}",True
GDS5027,"NeOAdjuvant Herceptin (NOAH) trial: formalin-fixed, paraffin-embedded breast cancer biopsies",Analysis of FFPE core biopsies from pre-treated patients with HER2+ breast cancer (BC) randomized to receive neoadjuvant chemotherapy only or chemotherapy+trastuzumab (herceptin). Results provide insight into the molecular basis of survival outcomes following trastuzumab-based chemotherapy.,24443618,GPL570,in situ oligonucleotide,54675,1,156,transformed count,GSE50948,none,data/GEO_v2/datasets/GDS5027.csv,958,protocol,2,"{'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil': 93, 'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil + trastuzumab': 63}","{'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil': 0, 'doxorubicin/paclitaxel + cyclophosphamide/methotrexate/fluorouracil + trastuzumab': 1}",True
GDS5027,"NeOAdjuvant Herceptin (NOAH) trial: formalin-fixed, paraffin-embedded breast cancer biopsies",Analysis of FFPE core biopsies from pre-treated patients with HER2+ breast cancer (BC) randomized to receive neoadjuvant chemotherapy only or chemotherapy+trastuzumab (herceptin). Results provide insight into the molecular basis of survival outcomes following trastuzumab-based chemotherapy.,24443618,GPL570,in situ oligonucleotide,54675,1,156,transformed count,GSE50948,none,data/GEO_v2/datasets/GDS5027.csv,958,other,2,"{'response group: residual disease (RD)': 103, 'response group: pathohistologic complete remission (pCR)': 53}","{'response group: residual disease (RD)': 0, 'response group: pathohistologic complete remission (pCR)': 1}",True
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 0, 'red wine': 0, 'grape juice': 0, 'alcohol': 1}",True
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 0, 'red wine': 0, 'grape juice': 1, 'alcohol': 0}",True
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 0, 'red wine': 1, 'grape juice': 0, 'alcohol': 0}",True
GDS2767,Blood response to various beverages: time course,"Analysis of blood samples from 6 individuals at various time points up to 12 hours following the intake of water, ethanol, grape juice, or red wine. Results may contribute to elucidating the mechanisms underlying the cardioprotective effects of red wine.",17010189,GPL96,in situ oligonucleotide,22283,1,108,transformed count,GSE3846,none,data/GEO_v2/datasets/GDS2767.csv,958,agent,4,"{'water': 29, 'red wine': 28, 'grape juice': 26, 'alcohol': 25}","{'water': 1, 'red wine': 0, 'grape juice': 0, 'alcohol': 0}",True
GDS4182,WHO 2008-classified acute myeloid leukemia subgroups (Analysis II): bone marrow mononuclear cells,Analysis of BMMCs from untreated patients with AML-MRC (AML with myelodysplasia-related changes) and from the combined group AML-NOS plus AML-MLD-sole on the basis of cytogenetics or a myelodysplastic syndrome (MDS) history. Results provide insight into the relevance of MLD for AML classification.,20581309,GPL570,in situ oligonucleotide,54675,1,96,transformed count,GSE21261,none,data/GEO_v2/datasets/GDS4182.csv,958,disease state,2,"{'AML-multilineage dysplasia sole + AML-not otherwise specified (AML-MLD-sole + AML-NOS)': 80, 'AML-myelodysplasia related changes (AML-MRC)': 16}","{'AML-multilineage dysplasia sole + AML-not otherwise specified (AML-MLD-sole + AML-NOS)': 0, 'AML-myelodysplasia related changes (AML-MRC)': 1}",False
GDS5205,Long-term adult survivors of glioblastoma: primary tumors,"Analysis of primary tumors from glioblastoma patients: long-term survivors with >36 months overall survival (OS), short-term survivors with <12 months OS, and patients with intermediate OS.  Results provide insight into the molecular characterization of long-term survivors of glioblastoma.",24615357,GPL570,in situ oligonucleotide,54675,1,70,transformed count,GSE53733,none,data/GEO_v2/datasets/GDS5205.csv,958,disease state,3,"{'intermediate overall survival': 31, 'long-term overall survival': 23, 'short-term overall survival': 16}","{'intermediate overall survival': 0, 'long-term overall survival': 1, 'short-term overall survival': 0}",False
GDS4318,Single nucleotide polymorphism rs1333049 from the 9p21.3 coronary artery disease risk locus: normal heart,Analysis of left ventricular heart from donors with no previous history of heart disease. Results provide insight into associations between 9p21.3 (rs1333049) genotype and transcripts in cardiovascular tissue.,22768093,GPL6244,in situ oligonucleotide,33297,1,108,transformed count,GSE22253,none,data/GEO_v2/datasets/GDS4318.csv,959,genotype/variation,3,"{'rs1333049 genotype: GC': 55, 'rs1333049 genotype: GG': 32, 'rs1333049 genotype: CC': 21}","{'rs1333049 genotype: GC': 0, 'rs1333049 genotype: GG': 0, 'rs1333049 genotype: CC': 1}",False
